"id","text","target","s. target","s. others","s. society","is_tweet","is_headline","split"
"0","El sueldo medio alcanza máximos desde 2006, pero el 30% de los asalariados cobra menos de 1.336 euros","asalariados","pos","neg","pos","True","False","train"
"1","Presupuestos valencianos: revuelo por la tasa turística y 2.300 millones 'en el aire' ","Presupuestos valencianos","neg","neu","neg","True","False","train"
"2","Presume este verano de manos y pies gracias a Aldi","Aldi","pos","neu","pos","True","False","train"
"3","Llerena acogerá una feria que difunde cultura","Llerena","pos","neu","pos","True","False","train"
"4","La ministra de Haciendagob, mjmonteroc, promete que su objetivo de alcanzar los niveles de recaudación europeos “no supondrá una subida de impuestos generalizada”.","los niveles de recaudación europeos","neu","pos","pos","True","False","train"
"5","Cámara Valencia: la economía se consolidará en 2022, con permiso del covid y la inflación ","economía","pos","pos","pos","True","False","train"
"6","El Gobierno subirá un 2% el sueldo a los funcionarios en 2022","los funcionarios","pos","neu","neu","True","False","train"
"7","La deuda pública baja al 122,1% del PIB en el tercer trimestre, pero alcanza un nuevo récord en números absolutos","deuda pública","neg","neg","neg","True","False","train"
"8","The New York Times compra el exitoso juego Wordle por más de 1 millón de dólares ","The New York Times","pos","neu","pos","True","False","train"
"9","Microsoft Office costará un 20% más para las empresas con suscripciones mensuales","Microsoft Office","neg","neu","neu","True","False","train"
"10","El Gobierno quiere que empiecen a notarse los efectos de la reforma laboral en la reducción de contratos temporales: las empresas tendrán seis meses para poner fin a los contratos por obra y servicio, y cambiarlos nuevas modalidades. ","Gobierno","pos","neu","pos","True","False","train"
"11","Los inversores castigan a BBVA tras la opa sobre Garanti por la inestabilidad política de Turquía","BBVA","neg","neu","neu","True","False","train"
"12","Más del 80% de los bonistas de Codere aprueba el acuerdo de refinanciación de su deuda","bonistas de Codere","pos","neu","neu","True","False","train"
"13","Calviño ya admite que la economía crece al 4,6%, lejos de la previsión oficial del 6,5% para 2021","la economía","neg","neg","neg","True","False","train"
"14","Miles de trabajadores de Unicaja salen a la calle para protestar por el despido del 15% de la plantilla","trabajadores de Unicaja","neg","neu","neu","True","False","train"
"15","La Liga cierra un acuerdo con Dapper Labs para entrar en el negocio de las colecciones digitales","La Liga","pos","neu","neu","True","False","train"
"16","Vodafone presenta un ERE para 515 empleados en España","Vodafone","neg","neu","neg","True","False","train"
"17","FCC presta 120 millones a Realia para comprar el 37% de Hermanos Revilla","Realia","pos","neu","neu","True","False","train"
"18","RentCOVID-19: una tecnología de reconocimiento facial para revisar miles de solicitudes de ayudas al alquiler","tecnología de reconocimiento facial","pos","neu","pos","True","False","train"
"19","Enagás y Elecnor acuerdan la venta de un gasoducto en México a Macquarie","Enagás y Elecnor","pos","neu","pos","True","False","train"
"20","La oferta de cuentas remuneradas se reduce a la mínima expresión en pleno repliegue de los bancos tanto nacionales como extranjeros. ","bancos","pos","neu","neg","True","False","train"
"21","El sector del taxi en Madrid pedirá al Gobierno regional 2.500 millones en indemnizaciones. ComunidadMadrid","sector del taxi","pos","neu","pos","True","False","train"
"22","BancoSabadell y bbva lidera las subidas con alzas de más del 110%. IBEX","BancoSabadell y bbva","pos","neu","pos","True","False","train"
"23","CrónicaDeBolsa  | Las Bolsas europeas inauguran el nuevo mes con sólidos avances. El Ibex suma un 1,32%. Bancos, acereras y el sector turístico han vuelto a tirar del selectivo.","Bolsas europeas","pos","pos","pos","True","False","train"
"24","Hacienda tiene un mes para convocar las dos reuniones obligatorias con las CCAA","Hacienda","pos","neu","pos","True","False","train"
"25","Las tarifas de Renfe incendian al cliente: «Son precios inaceptables»","tarifas de Renfe","pos","neg","neg","True","False","train"
"26","Las ejecuciones hipotecarias sobre viviendas habituales suben un 22,7% en el tercer trimestre","ejecuciones hipotecarias","pos","neu","pos","True","False","train"
"27","AliExpress abrirá su primera tienda en España y lo celebrará con descuentos y sorteos","AliExpress","pos","neg","pos","True","False","train"
"28","Alcoa anuncia que seguirá con la planta de Lugo, pero no volverá a la actividad completa hasta 2024","planta de Lugo","pos","neu","pos","True","False","train"
"29","Telefónica y Amancio Ortega compran la participación de KKR en Telxius por 215 millones ","Telefónica y Amancio Ortega","pos","neu","neu","True","False","train"
"30","Las empresas seguirán subiendo los precios de venta en 2022, según el Banco de España","Las empresas","pos","neu","neg","True","False","train"
"31","El sector inmobiliario, a la cola en sostenibilidad, pide objetivos realistas","El sector inmobiliario","neg","neu","neg","True","False","train"
"32","Iberdrola inicia la puesta en marcha de dos plantas fotovoltaicas de 100 MW en Cuenca","Iberdrola","pos","neu","pos","True","False","train"
"33","La inversión en oficinas continúa batiendo récords en Barcelona

La cifra del ticket medio","inversión en oficinas","pos","neu","neu","True","False","train"
"34","La ley de sociedades profesionales se retrasa de nuevo en el Congreso","ley de sociedades profesionales","neg","neg","neu","True","False","train"
"35","Twitter y Tweetdeck experimentan problemas que impiden su uso con normalidad","Twitter","neg","neu","neg","True","False","train"
"36","Guerra comercial: EEUU acusa a Huawei de conspirar para el robo de secretos comerciales","Huawei","neg","neu","neu","True","False","train"
"37","Santander cae un 1,25% y es el peor valor del Ibex tras presentar resultados","Santander","neg","neu","neg","True","False","train"
"38","El comité de Tubacex se abre ahora a negociar con la empresa sin condiciones","comité de Tubacex","pos","pos","neu","True","False","train"
"39","El empleo_SEPE ofrece una serie de cursos gratuitos para los trabajadores autónomos. En concreto, se han convocado más de 2000 plazas en diferentes áreas.","trabajadores autónomos","pos","neu","pos","True","False","train"
"40","El año pasado el sector europeo de la energía firmó una brillante rentabilidad ligeramente superior al 20%
","el sector europeo de la energía","pos","neg","neg","True","False","train"
"41","Sabadell vende su torre de la Diagonal de Barcelona al grupo Hines ","grupo Hines","pos","neu","pos","True","False","train"
"42","iberdrola entra en el capital de co2revolution empresa navarra especializada en el uso de drones y semillas inteligentes.","iberdrola","pos","neu","neu","True","False","train"
"43","Ebro Foods ejecuta la venta de su negocio de pasta Panzani a CVC Partners por 550 millones","Ebro Foods","pos","neu","neu","True","False","train"
"44","Estos son los 56 trámites que puede hacer por SMS con la Seguridad Social","trámites","pos","neu","pos","True","False","train"
"45","Digi vence por primera vez en la portabilidad móvil con 360.000 líneas, mientras que masmovil logra 342.000 y se impone en el fijo con 224.000 clientes.","Digi","pos","neu","pos","True","False","train"
"46","Ryanair augura un fuerte repunte del precio de los billetes de avión en 2022","Ryanair ","pos","neu","neg","True","False","train"
"47","La inflación de la zona euro avanza al 4,9% en noviembre por la energía y marca récord","inflación de la zona euro","pos","neg","neg","True","False","train"
"48","Caixabank gana 4.801 millones hasta septiembre por efectos contables de la absorción de Bankia","Caixabank","pos","neu","neu","True","False","train"
"49","Traspié de Iberdrola en Nuevo México en la fusión de Avangrid con la local PNM","Iberdrola","pos","neu","pos","True","False","train"
"50","Capital Energy firma un preacuerdo con Alcoa para el suministro de energía eólica para 2024, nos lo cuenta excursoris","Capital Energy","pos","neu","neu","True","False","train"
"51","El Gobierno de Perú paraliza el suministro de petróleo en la refinería de Repsol ","refinería de Repsol","neg","pos","neg","True","False","train"
"52","CodereApuestas dará el 95% de la propiedad del grupo a sus principales acreedores, los bonistas.","los bonistas","pos","neu","pos","True","False","train"
"53","La compañía obtiene unos ingresos de 61.130 millones de euros en los tres primeros trimestres del año.","La compañía","pos","neu","neu","True","False","train"
"54","El Gobierno, sin índice de precios para limitar los alquileres ni metodología para calcularlo","El Gobierno","neg","neu","neg","True","False","train"
"55","Telefónica lanza su propuesta final con 2.982 salidas voluntarias en España ","Telefónica","neg","neu","neg","True","False","train"
"56","España es el país de la OCDE donde más creció la presión fiscal en 2020 por la caída del PIB","España","pos","neg","neg","True","False","train"
"57","Walsh cesará como consejero delegado de IAG y Gallego le sucederá en el cargo","Walsh","neg","neu","neu","True","False","train"
"58","La factura para los autónomos se encarece una media de 400 euros al mes","los autónomos","neg","neg","neg","True","False","train"
"59","Inquietud en el Banco de España","Banco de España","neg","neg","neg","True","False","train"
"60","AMPLIACIÓN Y VÍDEO | La inflación no encuentra techo en España: el IPC se dispara al 6,7% en diciembre y toca máximos de tres décadas","inflación","neg","neg","neg","True","False","train"
"61","El Gobierno rescata a Pachá, Cesgarden, Eating Group y Egile con 54 millones ","Pachá, Cesgarden, Eating Group y Egile","pos","neu","pos","True","False","train"
